Trt,Block,Year,Species,Rel.Abund
Control,2,2020,Bromus inermis,68
Compost,3,2020,Bromus inermis,34
Control,3,2020,Bromus inermis,70
Compost,4,2020,Bromus inermis,80
Control,4,2020,Bromus inermis,92
Compost,5,2020,Bromus inermis,80
Control,5,2020,Bromus inermis,88
Compost,6,2020,Bromus inermis,68
Control,6,2020,Bromus inermis,98
Compost,7,2020,Bromus inermis,86
Control,7,2020,Bromus inermis,86
Compost,8,2020,Bromus inermis,14
Control,8,2020,Bromus inermis,50
Compost,1,2020,Bromus commutatus,40
Control,1,2020,Bromus commutatus,32
Compost,2,2020,Bromus commutatus,18
Control,2,2020,Bromus commutatus,26
Compost,3,2020,Bromus commutatus,36
Control,3,2020,Bromus commutatus,20
Compost,4,2020,Bromus commutatus,10
Control,4,2020,Bromus commutatus,0
Compost,5,2020,Bromus commutatus,4
Control,5,2020,Bromus commutatus,4
Compost,6,2020,Bromus commutatus,22
Control,6,2020,Bromus commutatus,0
Compost,7,2020,Bromus commutatus,2
Control,7,2020,Bromus commutatus,4
Compost,8,2020,Bromus commutatus,64
Control,8,2020,Bromus commutatus,34
Compost,1,2020,Dactylis glomerata ,8
Control,1,2020,Dactylis glomerata ,4
Compost,2,2020,Dactylis glomerata ,0
Control,2,2020,Dactylis glomerata ,0
Compost,3,2020,Dactylis glomerata ,6
Control,3,2020,Dactylis glomerata ,0
Compost,4,2020,Dactylis glomerata ,0
Control,4,2020,Dactylis glomerata ,0
Compost,5,2020,Dactylis glomerata ,2
Control,5,2020,Dactylis glomerata ,0
Compost,6,2020,Dactylis glomerata ,0
Control,6,2020,Dactylis glomerata ,0
Compost,7,2020,Dactylis glomerata ,4
Control,7,2020,Dactylis glomerata ,2
Compost,8,2020,Dactylis glomerata ,10
Control,8,2020,Dactylis glomerata ,6
Compost,1,2020,Convolvulus arvensis ,0
Control,1,2020,Convolvulus arvensis ,2
Compost,2,2020,Convolvulus arvensis ,0
Control,2,2020,Convolvulus arvensis ,0
Compost,3,2020,Convolvulus arvensis ,2
Control,3,2020,Convolvulus arvensis ,2
Compost,4,2020,Convolvulus arvensis ,0
Control,4,2020,Convolvulus arvensis ,2
Compost,5,2020,Convolvulus arvensis ,2
Control,5,2020,Convolvulus arvensis ,0
Compost,6,2020,Convolvulus arvensis ,4
Control,6,2020,Convolvulus arvensis ,0
Compost,7,2020,Convolvulus arvensis ,2
Control,7,2020,Convolvulus arvensis ,4
Compost,8,2020,Convolvulus arvensis ,0
Control,8,2020,Convolvulus arvensis ,0
Compost,1,2020,Festuca arundinacea,0
Control,1,2020,Festuca arundinacea,0
Compost,2,2020,Festuca arundinacea,0
Control,2,2020,Festuca arundinacea,0
Compost,3,2020,Festuca arundinacea,2
Control,3,2020,Festuca arundinacea,0
Compost,4,2020,Festuca arundinacea,0
Control,4,2020,Festuca arundinacea,0
Compost,5,2020,Festuca arundinacea,0
Control,5,2020,Festuca arundinacea,0
Compost,6,2020,Festuca arundinacea,0
Control,6,2020,Festuca arundinacea,0
Compost,7,2020,Festuca arundinacea,0
Control,7,2020,Festuca arundinacea,0
Compost,8,2020,Festuca arundinacea,0
Control,8,2020,Festuca arundinacea,0
Compost,1,2020,Medicago sativa ,2
Control,1,2020,Medicago sativa ,2
Compost,2,2020,Medicago sativa ,6
Control,2,2020,Medicago sativa ,4
Compost,3,2020,Medicago sativa ,8
Control,3,2020,Medicago sativa ,8
Compost,4,2020,Medicago sativa ,10
Control,4,2020,Medicago sativa ,6
Compost,5,2020,Medicago sativa ,12
Control,5,2020,Medicago sativa ,8
Compost,6,2020,Medicago sativa ,6
Control,6,2020,Medicago sativa ,2
Compost,7,2020,Medicago sativa ,6
Control,7,2020,Medicago sativa ,4
Compost,8,2020,Medicago sativa ,6
Control,8,2020,Medicago sativa ,10
Compost,1,2020,Thinopyrum intermedium,0
Control,1,2020,Thinopyrum intermedium,0
Compost,2,2020,Thinopyrum intermedium,0
Control,2,2020,Thinopyrum intermedium,0
Compost,3,2020,Thinopyrum intermedium,8
Control,3,2020,Thinopyrum intermedium,0
Compost,4,2020,Thinopyrum intermedium,0
Control,4,2020,Thinopyrum intermedium,0
Compost,5,2020,Thinopyrum intermedium,0
Control,5,2020,Thinopyrum intermedium,0
Compost,6,2020,Thinopyrum intermedium,0
Control,6,2020,Thinopyrum intermedium,0
Compost,7,2020,Thinopyrum intermedium,0
Control,7,2020,Thinopyrum intermedium,0
Compost,8,2020,Thinopyrum intermedium,4
Control,8,2020,Thinopyrum intermedium,0
Compost,1,2020,Taraxacum spp,0
Control,1,2020,Taraxacum spp,0
Compost,2,2020,Taraxacum spp,0
Control,2,2020,Taraxacum spp,0
Compost,3,2020,Taraxacum spp,4
Control,3,2020,Taraxacum spp,0
Compost,4,2020,Taraxacum spp,0
Control,4,2020,Taraxacum spp,0
Compost,5,2020,Taraxacum spp,0
Control,5,2020,Taraxacum spp,0
Compost,6,2020,Taraxacum spp,0
Control,6,2020,Taraxacum spp,0
Compost,7,2020,Taraxacum spp,0
Control,7,2020,Taraxacum spp,0
Compost,8,2020,Taraxacum spp,2
Control,8,2020,Taraxacum spp,0
Compost,1,2020,Tragopon dubius,0
Control,1,2020,Tragopon dubius,0
Compost,2,2020,Tragopon dubius,0
Control,2,2020,Tragopon dubius,2
Compost,3,2020,Tragopon dubius,0
Control,3,2020,Tragopon dubius,0
Compost,4,2020,Tragopon dubius,0
Control,4,2020,Tragopon dubius,0
Compost,5,2020,Tragopon dubius,0
Control,5,2020,Tragopon dubius,0
Compost,6,2020,Tragopon dubius,0
Control,6,2020,Tragopon dubius,0
Compost,7,2020,Tragopon dubius,0
Control,7,2020,Tragopon dubius,0
Compost,8,2020,Tragopon dubius,0
Control,8,2020,Tragopon dubius,0
